Sun;Rain;Quality
1053;338;bad
970;467;bad
966;417;bad
1189;488;bad
1103;677;bad
1171;326;bad
1102;349;bad
1210;536;bad
1186;443;bad
1164;311;bad
1195;441;bad
1208;371;bad
1201;361;medium
1133;393;medium
1310;427;medium
1230;275;medium
1285;303;medium
1329;339;medium
1331;414;medium
1289;302;medium
1175;261;medium
1248;315;medium
1361;346;medium
1258;294;good
1386;225;good
1362;326;good
1424;382;good
1366;282;good
1444;253;good
1317;259;good
1508;286;good
1399;306;good
1259;367;good
1277;375;good